Phylo,Family,Order,Scientific_name,Mass
Garrulax_delesserti,Timaliidae,Passeriformes,Garrulax delesserti,78
Ferminia_cerverai,Troglodytidae,Passeriformes,Ferminia cerverai,26
Contopus_nigrescens,Tyrannidae,Passeriformes,Contopus nigrescens,9.5
Chrysococcyx_minutillus,Cuculidae,Cuculiformes,Chrysococcyx minutillus,18.6
Myiodynastes_hemichrysus,Tyrannidae,Passeriformes,Myiodynastes hemichrysus,43.4
Oenanthe_monticola,Muscicapidae,Passeriformes,Oenanthe monticola,33.1
Plocepasser_donaldsoni,Passeridae,Passeriformes,Plocepasser donaldsoni,39.9
Coccothraustes_coccothraustes,Fringillidae,Passeriformes,Coccothraustes coccothraustes,56.6
Caprimulgus_solala,Caprimulgidae,Caprimulgiformes,Caprimulgus solala,79
Pomatostomus_isidorei,Pomatostomidae,Passeriformes,Pomatostomus isidorei,70
Caprimulgus_stellatus,Caprimulgidae,Caprimulgiformes,Caprimulgus stellatus,58.2
Asthenes_virgata,Furnariidae,Passeriformes,Asthenes virgata,22
Hemiphaga_novaeseelandiae,Columbidae,Columbiformes,Hemiphaga novaeseelandiae,653
Laniarius_ferrugineus,Malaconotidae,Passeriformes,Laniarius ferrugineus,46.8
Turdus_daguae,Turdidae,Passeriformes,Turdus daguae,54
Certhionyx_variegatus,Meliphagidae,Passeriformes,Certhionyx variegatus,26.3
Amaurocichla_bocagei,Sylviidae,Passeriformes,Amaurocichla bocagei,7
Phalacrocorax_punctatus,Phalacrocoracidae,Suliformes,Phalacrocorax punctatus,1184.7
Zosterops_kulambangrae,Zosteropidae,Passeriformes,Zosterops kulambangrae,10.6
Garrulax_poecilorhynchus,Timaliidae,Passeriformes,Garrulax poecilorhynchus,72
Megacrex_inepta,Rallidae,Gruiformes,Megacrex inepta,1200
Leucopternis_semiplumbeus,Accipitridae,Accipitriformes,Leucopternis semiplumbeus,285
Conopophaga_aurita,Conopophagidae,Passeriformes,Conopophaga aurita,26.3
Bradypterus_tacsanowskius,Sylviidae,Passeriformes,Bradypterus tacsanowskius,14
Lanius_gubernator,Laniidae,Passeriformes,Lanius gubernator,23.5
Ortalis_leucogastra,Cracidae,Galliformes,Ortalis leucogastra,495.8
Chaetorhynchus_papuensis,Dicruridae,Passeriformes,Chaetorhynchus papuensis,37.2
Prosopeia_splendens,Psittacidae,Psittaciformes,Prosopeia splendens,232
Psophodes_nigrogularis,Eupetidae,Passeriformes,Psophodes nigrogularis,44.5
Thryothorus_genibarbis,Troglodytidae,Passeriformes,Thryothorus genibarbis,19.2
Mirafra_cheniana,Alaudidae,Passeriformes,Mirafra cheniana,29.2
Estrilda_kandti,Estrildidae,Passeriformes,Estrilda kandti,8
Heliodoxa_gularis,Trochilidae,Apodiformes,Heliodoxa gularis,6.3
Spheniscus_mendiculus,Spheniscidae,Sphenisciformes,Spheniscus mendiculus,1921.9
Phoenicurus_erythrogastrus,Muscicapidae,Passeriformes,Phoenicurus erythrogastrus,24.5
Aimophila_stolzmanni,Emberizidae,Passeriformes,Aimophila stolzmanni,25.6
Prinia_bairdii,Cisticolidae,Passeriformes,Prinia bairdii,13.4
Notharchus_macrorhynchos,Bucconidae,Piciformes,Notharchus macrorhynchos,95.9
Carduelis_magellanica,Fringillidae,Passeriformes,Carduelis magellanica,13.6
Otus_angelinae,Strigidae,Strigiformes,Otus angelinae,82.2
Collocalia_pelewensis,Apodidae,Apodiformes,Collocalia pelewensis,13.4
Malimbus_rubricollis,Ploceidae,Passeriformes,Malimbus rubricollis,42.2
Chionis_albus,Chionidae,Charadriiformes,Chionis albus,675.7
Phaenicophaeus_viridirostris,Cuculidae,Cuculiformes,Phaenicophaeus viridirostris,67
Francolinus_sephaena,Phasianidae,Galliformes,Francolinus sephaena,340.5
Hylorchilus_sumichrasti,Troglodytidae,Passeriformes,Hylorchilus sumichrasti,28.4
Scopus_umbretta,Scopidae,Pelecaniformes,Scopus umbretta,472
Burhinus_oedicnemus,Burhinidae,Charadriiformes,Burhinus oedicnemus,459
Monarcha_chrysomela,Monarchidae,Passeriformes,Monarcha chrysomela,15.6
Parotia_sefilata,Paradisaeidae,Passeriformes,Parotia sefilata,181.7
