Phylo,Family,Order,Scientific_name,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
Pipreola_chlorolepidota,Cotingidae,Passeriformes,Pipreola chlorolepidota,14.2,8.4,5.2,4.3,17.5,74.8,14.9,59.9,20,43.9,29.5,Forest,1,1,Herbivore,Frugivore,Insessorial,-13.85,1.27,-4.86,-77.2,88203.3,Extant
Pipreola_formosa,Cotingidae,Passeriformes,Pipreola formosa,15.4,7.6,4.9,4.6,20.1,87,18.1,68.9,20.9,62.2,47.2,Forest,1,1,Herbivore,Frugivore,Insessorial,9.7,10.76,10.32,-65.89,12048.9,Extant
Pipreola_frontalis,Cotingidae,Passeriformes,Pipreola frontalis,15.9,7.6,5.1,4.7,19.2,87.2,17,70.1,19.5,67.7,42.4,Forest,1,1,Herbivore,Frugivore,Insessorial,-17.7,-0.19,-11.05,-73,150100.41,Extant
Pipreola_intermedia,Cotingidae,Passeriformes,Pipreola intermedia,17.2,7.3,4.6,5,23.8,94.5,14.9,79.6,15.8,83.1,51.2,Forest,1,1,Herbivore,Frugivore,Insessorial,-17.91,-7.92,-13.22,-71.66,121136.09,Extant
Pipreola_jucunda,Cotingidae,Passeriformes,Pipreola jucunda,18.3,10.8,6.3,5.7,22,96,22.4,74.1,23.2,58,57,Forest,1,1,Herbivore,Frugivore,Insessorial,-2.35,3.43,0.74,-78.31,13837.17,Extant
Pipreola_lubomirskii,Cotingidae,Passeriformes,Pipreola lubomirskii,17.1,9.4,5.8,5.1,21.6,92.5,19.6,72.8,21.2,63.5,57,Forest,1,1,Herbivore,Frugivore,Insessorial,-6.17,2.12,-1.62,-77.93,28329.19,Extant
Pipreola_pulchra,Cotingidae,Passeriformes,Pipreola pulchra,18.4,8.9,5.7,5.8,22.1,94.1,17.4,76.7,18.5,72.2,58.2,Forest,1,1,Herbivore,Frugivore,Insessorial,-13.42,-7.41,-11.01,-74.5,78215.76,Extant
Pipreola_riefferii,Cotingidae,Passeriformes,Pipreola riefferii,16.6,7.6,5.2,4.8,22.3,88.7,15,73.8,17.2,73.5,49.3,Forest,1,1,Herbivore,Frugivore,Insessorial,-9.93,10.88,2.08,-75.49,257255.05,Extant
Pipreola_whitelyi,Cotingidae,Passeriformes,Pipreola whitelyi,15.7,8.6,5.1,4.9,20.5,95,22.1,72.9,23.3,63.2,50,Forest,1,1,Herbivore,Frugivore,Insessorial,4.86,5.82,5.36,-61.34,24788.58,Extant
Porphyrolaema_porphyrolaema,Cotingidae,Passeriformes,Porphyrolaema porphyrolaema,17.9,10.6,6.5,6.3,19.7,96.2,19.5,76.7,20.2,68.2,60,Forest,1,1,Herbivore,Frugivore,Insessorial,-13.99,1.53,-6.09,-68.41,2187394.02,Extant
Procnias_albus,Cotingidae,Passeriformes,Procnias albus,26.7,10.7,7.1,6,26.8,150.5,34.9,115.6,23.4,83,210,Forest,1,1,Herbivore,Frugivore,Insessorial,-6.46,8.29,3.95,-57.67,527310.4,Extant
Procnias_averano,Cotingidae,Passeriformes,Procnias averano,27.1,11.4,7.5,6.7,29.4,152.7,39.7,113.8,25.9,88,146.1,Forest,1,1,Herbivore,Frugivore,Insessorial,-10.79,11.36,-4.18,-46.4,1123871.61,Extant
Procnias_nudicollis,Cotingidae,Passeriformes,Procnias nudicollis,27,10.9,7.1,5.9,29.4,148.4,35.1,111.6,24,82.6,172,Forest,1,1,Herbivore,Frugivore,Insessorial,-32.22,-8.2,-21.31,-47.2,1467436.56,Extant
Procnias_tricarunculatus,Cotingidae,Passeriformes,Procnias tricarunculatus,27.8,16.2,9.7,7.4,29.4,166,38.3,127.7,23,113.2,210,Forest,1,1,Herbivore,Frugivore,Insessorial,7.27,15.62,10.37,-83.79,22550.75,Extant
Pyroderus_scutatus,Cotingidae,Passeriformes,Pyroderus scutatus,42.5,26.3,13.8,15.5,38,231,41,183.8,18.2,152.2,357,Forest,1,2,Omnivore,Frugivore,Insessorial,-30.68,11.04,-17.64,-52.87,2116677.8,Extant
Querula_purpurata,Cotingidae,Passeriformes,Querula purpurata,28.8,19.5,12.5,9.7,24.3,178.2,31.7,148.7,17.6,117.6,107.4,Forest,1,1,Omnivore,Frugivore,Insessorial,-15.51,11.22,-4.22,-63.07,5636816.57,Extant
Rupicola_peruvianus,Cotingidae,Passeriformes,Rupicola peruvianus,31,15.4,8.8,12.4,36.7,183.5,21.7,162.2,11.6,120.3,242.5,Forest,1,1,Herbivore,Frugivore,Insessorial,-17.54,8.34,-2.69,-74.42,257511.06,Extant
Rupicola_rupicola,Cotingidae,Passeriformes,Rupicola rupicola,31.1,19.3,10.6,12.4,34,177.8,24.6,154.2,13.8,88.8,194.6,Forest,1,1,Herbivore,Frugivore,Insessorial,-3.13,8.3,2.68,-62.14,2067586.19,Extant
Schiffornis_major,Cotingidae,Passeriformes,Schiffornis major,15.9,9.4,4.8,5.4,18.8,78.3,9.3,69,11.7,55.3,31,Forest,1,1,Omnivore,Frugivore,Insessorial,-17.43,5.17,-4.75,-67.21,3141459.06,Extant
Schiffornis_turdina,Cotingidae,Passeriformes,Schiffornis turdina,17.8,10.2,5.1,5.9,21.8,90,15.2,73.9,17,69.8,31.7,Forest,1,1,Omnivore,Omnivore,Insessorial,-23.02,21.23,-2.78,-63.76,7996718.02,Extant
Schiffornis_virescens,Cotingidae,Passeriformes,Schiffornis virescens,13.9,8.6,3.8,4.5,21.4,80.2,12.5,67,15.7,64.2,25.6,Forest,1,1,Omnivore,Omnivore,Insessorial,-30.99,-13.29,-22.19,-49.62,1662556.58,Extant
Snowornis_cryptolophus,Cotingidae,Passeriformes,Snowornis cryptolophus,24.7,12.7,7.2,7.8,23.6,127,26.8,100.2,21.1,98.2,73.6,Forest,1,1,Omnivore,Omnivore,Insessorial,-9.62,6.42,-4.16,-76.89,109184.97,Extant
Snowornis_subalaris,Cotingidae,Passeriformes,Snowornis subalaris,24.9,12.1,6.6,7,20,129.4,30,99.3,23.2,101.1,81.2,Forest,1,1,Omnivore,Omnivore,Insessorial,-12.85,1.49,-5.73,-76.38,59762.19,Extant
Tijuca_atra,Cotingidae,Passeriformes,Tijuca atra,27.4,15,8.5,9.3,29.6,145,29.3,115.7,20.2,115.5,129,Forest,1,1,Herbivore,Frugivore,Insessorial,-23.56,-21.81,-22.54,-44.17,12392.12,Extant
Tijuca_condita,Cotingidae,Passeriformes,Tijuca condita,18.7,12.6,5.6,6.9,25.7,121,17,103.9,14,105.4,80,Forest,1,1,Herbivore,Frugivore,Insessorial,-22.61,-22.25,-22.42,-42.98,250.46,Extant
Tityra_cayana,Cotingidae,Passeriformes,Tityra cayana,28.2,19.5,11.4,10.6,24.5,116.7,31,87.3,26.2,71,68.1,Forest,2,1,Herbivore,Frugivore,Insessorial,-30.11,12.2,-8.27,-57.09,11903336.65,Extant
Tityra_inquisitor,Cotingidae,Passeriformes,Tityra inquisitor,26.3,18.5,11.6,9.2,21.6,105.7,28.1,77.9,26.5,65.6,43.1,Forest,1,1,Herbivore,Frugivore,Insessorial,-30.12,21.72,-7.47,-58.6,11190798.84,Extant
Tityra_semifasciata,Cotingidae,Passeriformes,Tityra semifasciata,28,18.2,10.4,10.7,25.6,120.5,30.7,93.4,24.8,71.7,79.3,Forest,1,1,Herbivore,Frugivore,Insessorial,-26.55,27.43,-4.18,-66.82,6821138.58,Extant
Xenopsaris_albinucha,Cotingidae,Passeriformes,Xenopsaris albinucha,10.7,7.7,3.9,3.9,14,63.9,13.3,50.9,20.7,58.4,10,Forest,2,2,Carnivore,Invertivore,Insessorial,-34.61,11.22,-15.73,-53.32,4453736.32,Extant
