"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"65","Hylopezus_macularius","Formicariidae","Passeriformes","Hylopezus_macularius",21.9,12.8,5.8,5.8,34.6,83.8,12.1,74.8,13.9,37.3,44.2,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-10.66,8.63,-2.34,-58.66,3139148.52,"Extant"
"66","Hylopezus_nattereri","Formicariidae","Passeriformes","Hylopezus_nattereri",18.6,10.7,4.2,4.5,38.7,76.5,7.8,68.5,10.2,36.5,32,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-30.33,-22.03,-26.38,-51.45,493987,"Extant"
"67","Hylopezus_ochroleucus","Formicariidae","Passeriformes","Hylopezus_ochroleucus",18.2,12.4,4.5,4.6,36.1,77.4,10.7,68.3,13.5,44.5,28,"Forest",2,1,"Carnivore","Invertivore","Terrestrial",-15.81,-3.57,-10.23,-40.95,545906.82,"Extant"
"68","Hylopezus_perspicillatus","Formicariidae","Passeriformes","Hylopezus_perspicillatus",19.4,12.6,5.5,5.9,34.8,79.5,12.4,69.2,15.3,32.1,43,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",0.44,15.88,8.41,-79.57,279909.57,"Extant"
"69","Myrmothera_campanisona","Formicariidae","Passeriformes","Myrmothera_campanisona",21.2,12.1,5.4,5.8,40.4,78,5.7,76.8,6.8,36,47,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-14.4,8.28,-2.56,-64.89,4560838.35,"Extant"
"70","Myrmothera_simplex","Formicariidae","Passeriformes","Myrmothera_simplex",20.1,12.6,5.1,5.7,42.7,81.8,6.9,75.4,8.4,46.8,52.4,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",0.68,6.82,5.13,-63.43,113218.8,"Extant"
"71","Pittasoma_michleri","Formicariidae","Passeriformes","Pittasoma_michleri",35.3,17.9,9,8.5,48.6,100.2,6,95,5.9,33.4,109,"Forest",1,1,"Carnivore","Invertivore","Insessorial",6.66,10.52,8.45,-79.07,49173.73,"Extant"
"72","Pittasoma_rufopileatum","Formicariidae","Passeriformes","Pittasoma_rufopileatum",33.2,16.6,7.9,7.9,45,92.3,4.4,87.6,4.7,30.5,96.5,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-0.6,7.21,3.5,-77.66,73382.31,"Extant"
"73","Skutchia_borbae","Formicariidae","Passeriformes","Skutchia_borbae",20.8,12.1,4.9,6.4,31.3,83.5,9.2,75.4,11.2,55.2,50,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-9.35,-2.22,-5.55,-58.57,234463.48,"Extant"
"74","Acrobatornis_fonsecai","Furnariidae","Passeriformes","Acrobatornis_fonsecai",10.4,7.3,3,3.6,17.6,62.9,13.6,48.3,21.2,56.6,13.7,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-16.05,-14.51,-15.42,-39.65,3689.54,"Extant"
"75","Anabacerthia_amaurotis","Furnariidae","Passeriformes","Anabacerthia_amaurotis",18.5,10.8,4.1,4.9,19.6,76.2,11.8,64.4,15.5,72.3,19.2,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-29.83,-19.71,-25.27,-50.11,499233.47,"Extant"
"76","Anabacerthia_striaticollis","Furnariidae","Passeriformes","Anabacerthia_striaticollis",18.6,10.2,3.8,5.4,20,87.3,15.8,71.7,18,76.1,24.8,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-17.03,11.18,-1.55,-73.77,335322.02,"Extant"
"77","Anabacerthia_variegaticeps","Furnariidae","Passeriformes","Anabacerthia_variegaticeps",17,10.9,3.6,5.1,19.4,85.2,15.6,69.2,18.4,70.6,27.8,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-4.1,18.71,11.78,-87.48,215334.52,"Extant"
"78","Anabazenops_dorsalis","Furnariidae","Passeriformes","Anabazenops_dorsalis",23.4,14.9,5,7.5,23.5,92.7,12.8,79.9,13.9,77,35.4,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-14.22,1.51,-7.79,-73.22,480171.5,"Extant"
"79","Anabazenops_fuscus","Furnariidae","Passeriformes","Anabazenops_fuscus",25.2,16.1,4.6,7,23.4,91.6,13.1,78.3,14.4,80,38.5,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-28.01,-13.5,-20.55,-43.46,372722.52,"Extant"
"80","Ancistrops_strigilatus","Furnariidae","Passeriformes","Ancistrops_strigilatus",23.1,14.2,5.2,7.1,23.1,92.8,17,76.7,18.1,72.5,35.9,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-14.95,3.44,-5.93,-67.88,2508167.13,"Extant"
"81","Anumbius_annumbi","Furnariidae","Passeriformes","Anumbius_annumbi",19.6,12.5,3.8,4.7,24.3,81.4,16.7,64.7,20.5,82.2,41.5,"Grassland",3,1,"Carnivore","Invertivore","Generalist",-43.26,-11.32,-28.89,-57.25,2928674.73,"Extant"
"82","Aphrastura_masafuerae","Furnariidae","Passeriformes","Aphrastura_masafuerae",16.1,10.2,2.6,3.3,22.2,65.8,12.7,54.4,18.9,68.9,12.2,"Forest",2,1,"Carnivore","Invertivore","Insessorial",-33.79,-33.71,-33.76,-80.75,10.84,"Extant"
"83","Aphrastura_spinicauda","Furnariidae","Passeriformes","Aphrastura_spinicauda",13.7,7.8,2.6,3,20.2,59.4,12.2,47.2,20.5,76.8,11.5,"Forest",2,1,"Carnivore","Invertivore","Insessorial",-56.53,-30.3,-45.16,-72.25,491332.8,"Extant"
"84","Asthenes_anthoides","Furnariidae","Passeriformes","Asthenes_anthoides",15.8,9.3,2.8,3.4,21.3,67.2,10.7,56,16,68.6,22.3,"Grassland",3,1,"Carnivore","Invertivore","Terrestrial",-55.32,-39.59,-47.88,-70.7,192482.47,"Extant"
"85","Asthenes_arequipae","Furnariidae","Passeriformes","Asthenes_arequipae",15.9,9.4,3,3.9,24.5,69.2,9.1,60.2,13.1,74.2,20,"Shrubland",2,1,"Omnivore","Invertivore","Terrestrial",-19.76,-12.35,-16.2,-70.91,98013.95,"Extant"
"86","Asthenes_baeri","Furnariidae","Passeriformes","Asthenes_baeri",12.5,7.8,2.7,3.8,19.1,58.5,7.2,51.2,12.3,66.6,17.8,"Shrubland",3,1,"Carnivore","Invertivore","Insessorial",-41.17,-19.09,-31.67,-62.19,1726715.05,"Extant"
"87","Asthenes_berlepschi","Furnariidae","Passeriformes","Asthenes_berlepschi",16.9,10.7,3,4.2,23.4,67,7.2,60.4,10.5,73,67,"Shrubland",2,1,"Carnivore","Invertivore","Terrestrial",-16.59,-15.43,-15.93,-68.53,2103.93,"Extant"
