"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"633","Myrmeciza_immaculata","Thamnophilidae","Passeriformes","Myrmeciza_immaculata",23.8,13.2,5.4,6.5,35.1,82.3,5.3,75.5,6.4,82.2,47.1,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-4,11.1,4.94,-76.32,266103.55,"Extant"
"634","Myrmeciza_laemosticta","Thamnophilidae","Passeriformes","Myrmeciza_laemosticta",19.5,11.3,4.4,4.6,26.4,64,5.8,58,9.1,45,25,"Forest",1,1,"Carnivore","Invertivore","Generalist",5.24,11.09,7.9,-75.69,125059.14,"Extant"
"635","Myrmeciza_longipes","Thamnophilidae","Passeriformes","Myrmeciza_longipes",20.3,12,4.3,4.5,29.2,64.8,4,61.3,6.4,53.1,27.9,"Woodland",1,1,"Carnivore","Invertivore","Terrestrial",-2.5,12.36,6.41,-65.33,1110901.77,"Extant"
"636","Myrmeciza_loricata","Thamnophilidae","Passeriformes","Myrmeciza_loricata",17.4,9.5,3.6,3.6,25.3,59.8,6,54.8,9.8,65.3,15.5,"Forest",1,1,"Carnivore","Invertivore","Generalist",-23.51,-12.52,-18.67,-41.38,177950.43,"Extant"
"637","Myrmeciza_melanoceps","Thamnophilidae","Passeriformes","Myrmeciza_melanoceps",24.4,13.9,5.7,6.6,32,85.8,7,79.8,8.1,61.7,38.5,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-11.27,2.64,-3.48,-72.62,1321301.01,"Extant"
"638","Myrmeciza_nigricauda","Thamnophilidae","Passeriformes","Myrmeciza_nigricauda",19.1,11.7,4.9,5,28.2,64,5.8,59,8.9,52.3,24,"Forest",1,1,"Carnivore","Invertivore","Generalist",-3.46,6.32,1.72,-78.27,64675.02,"Extant"
"639","Myrmeciza_pelzelni","Thamnophilidae","Passeriformes","Myrmeciza_pelzelni",17.8,10.1,3.7,3.9,23,56.8,4,52.9,7,45.6,17.7,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-0.3,2.85,1.22,-66.62,58892.64,"Extant"
"640","Myrmeciza_ruficauda","Thamnophilidae","Passeriformes","Myrmeciza_ruficauda",19.1,10.9,3.8,4.7,22.6,67.1,7,60.5,10.3,51.1,26,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-19.3,-7.51,-16.77,-39.32,499.32,"Extant"
"641","Myrmeciza_squamosa","Thamnophilidae","Passeriformes","Myrmeciza_squamosa",16.3,8.8,3.7,3.7,27.2,60,5.5,55,9,64.3,18.5,"Forest",1,1,"Carnivore","Invertivore","Generalist",-30.58,-21.98,-25.18,-48.19,241730.2,"Extant"
"642","Myrmoborus_leucophrys","Thamnophilidae","Passeriformes","Myrmoborus_leucophrys",18,10.8,4.5,4.7,25.2,64.9,8.7,56.4,13.6,43.8,21.5,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-17.57,10.02,-3.46,-63.71,5113605.96,"Extant"
"643","Myrmoborus_lugubris","Thamnophilidae","Passeriformes","Myrmoborus_lugubris",19.4,11.6,5,5.2,26.5,66.7,8.3,59.2,12.6,39.9,21.4,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-6.91,1.48,-3,-63.93,290798.01,"Extant"
"644","Myrmoborus_melanurus","Thamnophilidae","Passeriformes","Myrmoborus_melanurus",17,10.3,4.7,4.8,25.2,61.8,5.2,57.2,8.5,39.8,18.1,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-8.37,-2.6,-4.75,-73.83,32518.28,"Extant"
"645","Myrmoborus_myotherinus","Thamnophilidae","Passeriformes","Myrmoborus_myotherinus",17.9,10.2,4.2,4.6,25.7,62,9.2,53.4,14.8,40.1,18.8,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-17.92,7.11,-6.18,-64.24,4778353.33,"Extant"
